

"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"Y1","24MHz"," Top","XTAL_3225","94.6000","72.0500","0","Crystal SMD 24MHz 10PPM 7pF 3225"
"U3","MPU-6050"," Top","IS-QFN-24_V","95.7500","86.5000","270","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
"U2","STM32F411CEU6"," Top","STM-UFQFPN48_L","103.5000","76.5750","0","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray"
"U1","AMS1117-3.3"," Top","FP-AMS1117-IPC_C","111.7500","64.0450","270","LDO Voltage Regulators 1A, 3.3V"
"R7","10k"," Top","RES_0402","112.7500","89.0000","0","Resistor SMD 0402"
"R6","10k"," Top","RES_0402","102.7500","83.0000","270","Resistor SMD 0402"
"R5","1k"," Top","RES_0402","109.2500","72.7500","180","Resistor SMD 0402"
"R4","2k2"," Top","RES_0402","103.0000","84.7500","180","Resistor SMD 0402"
"R3","2k2"," Top","RES_0402","105.2500","84.7500","0","Resistor SMD 0402"
"R2","0R"," Top","RES_0402","96.2500","76.0000","0","Resistor SMD 0402"
"R1","1k"," Top","RES_0402","120.2500","66.5000","90","Resistor SMD 0402"
"J3","SM06B-GHS-TB"," Top","SM06B-GHS-TB","100.0000","59.2500","0","Header Connector 6 Position 1.25MM Pitch SMD Horizontal JST GH"
"J2","TC2030-NL"," Top","TC2030-NL-FP","112.2700","86.1350","180","Tag-Connect No-Solder SWD Debug Connector (No Legs) DO NOT PLACE"
"J1","473460001"," Top","FP-473460001-MFG","119.0300","77.8500","90","CONN RCPT USB2.0 MICRO B SMD R/A"
"FB1","120R"," Top","FB_0603","114.2000","75.5000","180","Ferrite Bead SMD 0603"
"D2","RED"," Top","LED_0402_RED","109.2500","74.2500","0","LED 0402 RED SMD"
"D1","GREEN"," Top","LED_0402_GREEN","120.2500","64.2500","90","LED 0402 GREEN SMD"
"C18","2n2"," Top","CAP_0402","99.5000","85.2500","90","Capacitor SMD 0402"
"C17","10n"," Top","CAP_0402","92.2500","87.7500","90","Capacitor SMD 0402"
"C16","100n"," Top","CAP_0402","92.2500","85.7500","270","Capacitor SMD 0402"
"C15","100n"," Top","CAP_0402","95.0000","82.7500","180","Capacitor SMD 0402"
"C14","100n"," Top","CAP_0402","110.7500","89.0000","0","Capacitor SMD 0402"
"C13","2u2"," Top","CAP_0603","104.2500","71.5000","180","Capacitor SMD 0603"
"C12","100n"," Top","CAP_0402","101.0000","81.5000","180","Capacitor SMD 0402"
"C11","100n"," Top","CAP_0402","108.5000","79.6000","90","Capacitor SMD 0402"
"C10","100n"," Top","CAP_0402","106.7500","71.5000","0","Capacitor SMD 0402"
"C9","100n"," Top","CAP_0402","98.5000","75.0000","270","Capacitor SMD 0402"
"C8","100n"," Top","CAP_0402","98.5000","79.0000","90","Capacitor SMD 0402"
"C7","2u2"," Top","CAP_0603","97.0000","79.0000","270","Capacitor SMD 0603"
"C6","10p"," Top","CAP_0402","96.2500","75.0000","180","Capacitor SMD 0402"
"C5","10p"," Top","CAP_0402","94.0000","74.5000","0","Capacitor SMD 0402"
"C4","22u"," Top","CAP_0805","118.0000","64.8570","270","Capacitor SMD 0805"
"C3","22u"," Top","CAP_0805","111.5000","69.7500","180","Capacitor SMD 0805"
"C2","2u2"," Top","CAP_0603","113.4500","73.2500","270","Capacitor SMD 0603"
"C1","2u2"," Top","CAP_0603","114.9750","73.2750","270","Capacitor SMD 0603"
